rank,chembl_id,name,affinity_kcal_mol,heavy_atoms,ligand_efficiency
1,CHEMBL862,GUANFACINE,-6.082,15,0.405
2,CHEMBL2106794,NAFTAZONE,-6.162,16,0.385
3,CHEMBL170988,PHENFORMIN,-5.62,15,0.375
4,CHEMBL853,ZALCITABINE,-5.494,15,0.366
5,CHEMBL1037,GUANADREL,-5.444,15,0.363
6,CHEMBL18116,TOLOXATONE,-5.383,15,0.359
7,CHEMBL1388,MONOBENZONE,-5.347,15,0.356
8,CHEMBL276520,INDALPINE,-6.05,17,0.356
9,CHEMBL1279,FROVATRIPTAN,-6.403,18,0.356
10,CHEMBL108,CARBAMAZEPINE,-6.348,18,0.353
11,CHEMBL1239,BENZYL BENZOATE,-5.635,16,0.352
12,CHEMBL54976,TRYPTOPHAN,-5.26,15,0.351
13,CHEMBL249856,ENOXIMONE,-5.957,17,0.35
14,CHEMBL1079604,METAXALONE,-5.538,16,0.346
15,CHEMBL95,TACRINE,-5.187,15,0.346
16,CHEMBL885,EMTRICITABINE,-5.528,16,0.345
17,CHEMBL46917,CARBARIL,-5.181,15,0.345
18,CHEMBL1475,TRIOXSALEN,-5.87,17,0.345
19,CHEMBL17,DICHLORPHENAMIDE,-5.48,16,0.343
20,CHEMBL945,AMILORIDE,-5.115,15,0.341
21,CHEMBL1103,FURAZOLIDONE,-5.443,16,0.34
22,CHEMBL1201198,PEMIROLAST,-5.749,17,0.338
23,CHEMBL697,METHSUXIMIDE,-5.052,15,0.337
24,CHEMBL1413,CICLOPIROX,-5.042,15,0.336
25,CHEMBL93,ZILEUTON,-5.371,16,0.336
26,CHEMBL711,PHENINDIONE,-5.7,17,0.335
27,CHEMBL94394,BUFEXAMAC,-5.363,16,0.335
28,CHEMBL761,NAPHAZOLINE,-5.338,16,0.334
29,CHEMBL898,DIFLUNISAL,-5.989,18,0.333
30,CHEMBL413965,FELBINAC,-5.32,16,0.333
