combined_rank,chembl_id,name,affinity_kcal_mol,rank_affinity,ligand_efficiency,rank_le,combined_rank_score
1,CHEMBL386630,TESTOSTERONE,-6.787,123,0.323,46,169
2,CHEMBL1254682,LEVALLORPHAN,-6.722,149,0.32,54,203
3,CHEMBL1387,NORETHYNODREL,-6.799,120,0.309,93,213
4,CHEMBL1279,FROVATRIPTAN,-6.403,288,0.356,9,297
5,CHEMBL108,CARBAMAZEPINE,-6.348,314,0.353,10,324
6,CHEMBL2107797,NORGESTREL,-6.731,146,0.293,188,334
7,CHEMBL256997,ATALUREN,-6.466,246,0.308,99,345
8,CHEMBL1094636,NIRAPARIB,-6.816,116,0.284,237,353
9,CHEMBL1201165,QUINESTROL,-7.339,29,0.272,326,355
10,CHEMBL25202,TAMIBAROTENE,-7.098,55,0.273,319,374
11,CHEMBL1301,HYDROXYSTILBAMIDINE,-6.426,272,0.306,106,378
12,CHEMBL258918,MESTEROLONE,-6.512,231,0.296,163,394
13,CHEMBL3546271,FLORTAUCIPIR,-6.304,329,0.315,73,402
14,CHEMBL1463345,CANRENONE,-6.848,104,0.274,316,420
15,CHEMBL2106794,NAFTAZONE,-6.162,422,0.385,2,424
16,CHEMBL1201151,MESTRANOL,-6.566,205,0.285,229,434
17,CHEMBL1509,DROSPIRENONE,-7.171,44,0.266,391,435
18,CHEMBL1316,CARPROFEN,-6.184,407,0.325,43,450
19,CHEMBL1200374,EXEMESTANE,-6.439,264,0.293,187,451
20,CHEMBL3545253,FLORTAUCIPIR F 18,-6.243,365,0.312,86,451
21,CHEMBL1395,METHYLTESTOSTERONE,-6.437,266,0.293,190,456
22,CHEMBL2103774,TIBOLONE,-6.533,221,0.284,235,456
23,CHEMBL1479,DANAZOL,-6.775,127,0.271,330,457
24,CHEMBL1450,ATOVAQUONE,-6.935,83,0.267,379,462
25,CHEMBL862,GUANFACINE,-6.082,474,0.405,1,475
26,CHEMBL103,PROGESTERONE,-6.507,233,0.283,246,479
27,CHEMBL1418176,METHANDROSTENOLONE,-6.415,283,0.292,198,481
28,CHEMBL1568698,GANAXOLONE,-6.611,188,0.275,303,491
29,CHEMBL175691,RILPIVIRINE,-7.207,38,0.257,462,500
30,CHEMBL276520,INDALPINE,-6.05,493,0.356,8,501
